"Pitch_angle"	"Pitch_angle_std"	"Hub_temperature"	"Hub_temperature_std"	"Generator_converter_speed"	"Generator_converter_speed_std"	"Generator_speed"	"Generator_speed_std"	"Generator_bearing_1_temperature"	"Generator_bearing_1_temperature_std"	"Generator_bearing_2_temperature"	"Generator_bearing_2_temperature_std"	"Generator_stator_temperature"	"Generator_stator_temperature_std"	"Gearbox_bearing_1_temperature"	"Gearbox_bearing_1_temperature_std"	"Gearbox_bearing_2_temperature"	"Gearbox_bearing_2_temperature_std"	"Gearbox_inlet_temperature"	"Gearbox_inlet_temperature_std"	"Gearbox_oil_sump_temperature"	"Gearbox_oil_sump_temperature_std"	"Nacelle_angle"	"Nacelle_temperature_std"	"Absolute_wind_direction"	"Outdoor_temperature_std"	"Grid_frequency"	"Grid_frequency_std"	"Rotor_speed"	"Rotor_speed_std"	"Rotor_bearing_temperature"	"Rotor_bearing_temperature_std"	"Nacelle_angle_c"	"AbsWindSin"	"AbsWindCos"	"Y"
"9188"	44,98	0	21	0	33,290001	9,96	31,790001	10,6	37,75	0,11	38,459999	0,039999999	48,380001	0,079999998	35,439999	0,050000001	37,32	0,079999998	34,84	0,33000001	38,25	0,079999998	131,67999	0,0099999998	141,91	0,12	50	0,0099999998	0,28999999	0,12	23,1	0	131,67999	0,616898519672127	-0,787042703051326	-1,22
"5579"	-1,01	0	20	0	1678,3101	122,96	1679,89	123,17	39,540001	0,49000001	41,189999	0,090000004	59,84	0,5	62,970001	0,50999999	68,800003	0,63999999	49,349998	0,25	55,709999	0,2	194,25	0,62	194,49001	0,07	49,990002	0,0099999998	15,99	1,1799999	34,759998	0,11	194,25	-0,250211195583354	-0,968191281516596	782,793978
"3795"	-1	0	24	0	1028,3199	184,14	1028,54	184,39	45,720001	0,58999997	42,57	0,28	62,98	0,57999998	62,23	0,60000002	64,620003	0,94	56,619999	0,20999999	57,970001	0,19	286,44	1,88	287,38	0,38	49,970001	0,0099999998	9,7700005	1,76	37,169998	0,11	286,44	-0,954344655306965	0,298707681332485	106,6679967
"1389"	-1,01	0	15	0	1233,5699	42,310001	1234,29	42,400002	42,25	0,40000001	37,43	0,31	59,560001	0,50999999	60,419998	0,27000001	64,910004	0,23	55,02	0,17	57,07	0,1	330,34	0,25	327,66	0,07	49,990002	0,02	11,73	0,41	29,879999	0,029999999	330,34	-0,534942323204716	0,84488857895248	230,043989
"3999"	-1	0	29	0	1144	33,810001	1144,53	33,860001	45,439999	0,94	42,98	0,47999999	62,669998	0,86000001	61,950001	0,38	65,459999	0,2	56,169998	0,12	57,939999	0,090000004	80,099998	0,94	96,5	0,029999999	50	0,0099999998	10,87	0,31999999	36,919998	0,059999999	80,099998	0,993571855676587	-0,113203213767907	170,897
"13822"	-1,01	0	11,37	0,41	1298,92	110,33	1300,3101	110,57	37,419998	0,22	34,560001	0,1	57,580002	0,46000001	61,68	0,38	66,099998	0,40000001	55,200001	0,20999999	57,380001	0,079999998	339,12	1,0700001	339,60001	0,11	49,990002	0,0099999998	12,36	1,0599999	28,32	0,039999999	339,12	-0,348571883735243	0,937282050329176	283,162989
"8138"	44,98	0	16,01	0,07	3,49	0,0099999998	0	0	32,799999	0,050000001	36,419998	0,1	47,59	0,11	34,950001	0,1	38	0,11	36,389999	0,28	40,57	0,34999999	189,85001	0,090000004	184,13	0,039999999	50,049999	0,0099999998	0	0	22,209999	0,02	189,85001	-0,0720196932807819	-0,99740321023132	-1,297
"17175"	-1	0	28	0	947,42999	27,25	947,89001	27,290001	45,860001	0,34	45,43	0,28	64,489998	0,63999999	55,580002	0,25	55,98	0,54000002	49,91	0,079999998	50,869999	0,079999998	136,07001	0,16	149,28999	0,090000004	50,02	0,0099999998	9	0,25999999	33,099998	0,029999999	136,07001	0,510693132724002	-0,85976306281937	60,9960011
"12404"	-1,01	0	15	0,18000001	990,91998	31,959999	991,35999	32,029999	37,330002	0,40000001	36,34	0,16	58,27	0,40000001	52,900002	0,090000004	55,09	0,11	49,07	0,079999998	50,689999	0,050000001	263,39001	0,38999999	252,53999	0,0099999998	50	0,0099999998	9,4099998	0,31	28,5	0,02	263,39001	-0,953926598200536	-0,300040072732881	88,2320033
"7376"	2,02	3,4000001	15	0	1798,1801	18,139999	1800,14	18,17	25,93	0,15000001	34,200001	0,079999998	63,130001	0,63	72,239998	0,25999999	72,150002	0,17	34,950001	0,70999998	50,5	0,14	248,03	0,07	244,12	0,079999998	50,009998	0,0099999998	17,139999	0,18000001	32,16	0,07	248,03	-0,899710196735603	-0,436487756861499	1833,338
"6585"	-1,01	0	13	0	928,83002	19,879999	929,09998	19,93	38,16	0,31	39,259998	0,25999999	59,98	0,50999999	51,27	0,18000001	52,939999	0,27000001	47,880001	0,1	49,220001	0,079999998	192,05	0,13	189,67	0,059999999	50	0,0099999998	8,8199997	0,19	25,4	0,02	192,05	-0,167973243362908	-0,985791554799566	23,3539989
"824"	-1,01	0	11	0	1182,39	53,040001	1183,28	53,130001	38,77	1,3200001	34,389999	0,75	58,799999	1,3200001	59,259998	0,54000002	64,370003	0,62	55,32	0,17	57,450001	0,23	273,26999	1,05	282,10001	0	49,970001	0,0099999998	11,24	0,50999999	27,09	0,1	273,26999	-0,97778320017325	0,209618733559187	199,42
"9684"	-1	0	32	0	1111,87	85	1112,39	85,099998	42,939999	0,2	43,93	0,18000001	58,290001	0,57999998	61,119999	1,09	63,32	1,66	56,779999	0,16	58,450001	0,2	256,81	0,87	242,45	0,12	50	0,0099999998	10,56	0,81	37,720001	0,059999999	256,81	-0,886607543799825	-0,46252250029295	158,082
"5774"	-1,01	0	15	0	1734,6801	77,879997	1736,64	78,040001	40,57	0,22	38,700001	0,079999998	63,560001	0,46000001	64,080002	0,81999999	70	0,33000001	54,18	1,95	56,330002	0,30000001	172,28999	1,72	166,77	0,079999998	50	0	16,530001	0,75	30,709999	0,090000004	172,28999	0,228860603507013	-0,973459205186538	876,184
"9296"	-1	0	18	0	1049,71	244,31	1050,37	244,75	40,080002	0,62	39,349998	0,33000001	58,950001	0,91000003	60,07	1,11	62,419998	1,59	54,700001	0,37	56,5	0,23999999	282,04999	1,3200001	295,42001	0,31	50,009998	0,0099999998	9,9700003	2,3399999	30,58	0,1	282,04999	-0,903185436306555	0,429250588402321	117,954
"19269"	-1	0	21	0	979,64001	81,830002	980,40002	81,970001	41,919998	0,41	42,07	0,23999999	60,849998	0,56	58,330002	0,25	60,720001	0,41	54,099998	0,13	55,549999	0,079999998	156,92999	0,28999999	155,03999	0,07	50,02	0,0099999998	9,3100004	0,77999997	32,369999	0,07	156,92999	0,421985594837782	-0,906602535706471	64,7579989
"3020"	-1	0	28	0,059999999	1323,21	44,82	1323,95	44,880001	45,59	0,97000003	43,150002	0,50999999	62,919998	0,99000001	63,09	0,28	66,669998	0,28999999	57,189999	0,20999999	58,419998	0,19	222,78	0,81999999	215,67	0,1	49,98	0,0099999998	12,58	0,43000001	39,48	0,079999998	222,78	-0,583115925444616	-0,81238895702297	298,486011
"13356"	89,980003	0	7	0	7,0900002	4,5799999	2,8900001	4,9200001	9,1000004	0	8,8500004	0,050000001	12,31	0,029999999	21,26	0,039999999	21,1	0,02	24,040001	0,25999999	26,33	0,33000001	316,07001	0,1	330,57999	0,029999999	49,990002	0,0099999998	0	0	2,5999999	0	316,07001	-0,491207986716827	0,871042314578116	-7,281
"14146"	-0,87	0,61000001	18,16	0,38	1289,54	176,78	1291,0601	177,14999	45,849998	0,31	40,34	0,19	64,519997	0,51999998	62,25	0,5	65,879997	0,63	56,400002	0,17	58,34	0,12	217,06	0,1	216,50999	0,07	49,990002	0,0099999998	12,27	1,6900001	33,119999	0,059999999	217,06	-0,594962936898908	-0,803753136053992	277,982
"14907"	-1,01	0	14	0	1152,89	216,84	1153,9301	217,28	43,549999	0,38999999	37,470001	0,28	61,139999	0,52999997	63,029999	1,0700001	65,879997	1,48	56,849998	0,34999999	58,84	0,23	279,85999	0,16	279,70001	0,039999999	50	0,029999999	10,96	2,0799999	32,849998	0,090000004	279,85999	-0,985703439681894	0,16848955160271	190,972
"5160"	-1,01	0	21,879999	0,33000001	1765,87	91,739998	1767,3199	91,910004	45,549999	0,28	43,98	0,07	65,169998	0,67000002	64,260002	0,91000003	70,470001	1,17	48,82	1,12	56,990002	0,20999999	248,03	1,52	251,56	0,13	50	0,0099999998	16,83	0,88	35,950001	0,079999998	248,03	-0,948655415828058	-0,316311400395394	888,327978
"9936"	-1	0	23,530001	0,41999999	1170,9	184,81	1171,76	185,14	40,389999	0,25999999	39,68	0,2	59,029999	0,44999999	58,77	0,66000003	61,66	0,88999999	54,810001	0,18000001	56,549999	0,16	334,73001	0,66000003	333,23999	0,039999999	50	0,0099999998	11,13	1,77	35,080002	0,02	334,73001	-0,450254444248896	0,892900294228935	204,051
"6010"	2,8499999	3,02	20	0	1798,49	20,65	1800,13	20,690001	31,16	0,11	39,990002	0,059999999	72,910004	0,38999999	72,610001	0,11	73,870003	0,07	42,900002	0,25	53,970001	0,1	229,37	0,039999999	230,64	0,1	49,990002	0,0099999998	17,139999	0,2	34,700001	0	229,37	-0,773176510643607	-0,63419088876219	2036,497
"16707"	40,060001	12,8	29	0	213,35001	29,98	212,61	29,92	45,759998	0,039999999	43,470001	0,15000001	53,32	0,17	49,740002	0,050000001	50,799999	0,039999999	50,869999	0,11	52,029999	0,07	344,60999	0,039999999	329,26999	0,1	50	0,0099999998	2,01	0,27000001	34,5	0,0099999998	344,60999	-0,510993215529367	0,859584744910563	-2,892
"9132"	44,98	0	18	0	124,01	12,68	122,96	12,7	40,18	0,07	40,91	0,13	52,689999	0,16	43,310001	0,1	44,790001	0,1	44	0,20999999	46,029999	0,050000001	297,42001	0,090000004	288,09	0,090000004	49,990002	0,0099999998	1,16	0,12	25,139999	0,02	297,42001	-0,95056994041638	0,310510528608611	-2,03400011
"4650"	-1,01	0	22	0	1089,8101	65,050003	1090,22	65,150002	43,619999	0,23999999	43,880001	0,16	64,68	0,50999999	60,099998	0,60000002	63,07	1,15	56,48	0,37	57,900002	0,13	26,32	1,66	36,509998	0,17	49,990002	0,0099999998	10,35	0,62	34,110001	0,039999999	26,32	0,594963049124011	0,803753052981486	141,428
"6919"	-0,88	0,38999999	8	0	927,65002	6,9899998	927,78003	7,0100002	36,619999	0,16	29,790001	0,13	50,900002	0,36000001	54,73	0,079999998	57,59	0,14	53,639999	0,16	55,360001	0,090000004	32,900002	0,090000004	34,400002	0,02	49,990002	0,029999999	8,8000002	0,07	24,16	0,039999999	32,900002	0,564967032226832	0,825113478557226	28,1059989
"9496"	-1	0	23	0	1546,34	47,509998	1547,9	47,599998	46,049999	0,23	41,52	0,11	63,790001	0,55000001	63,700001	0,43000001	68,639999	0,25999999	50,450001	0,2	57,209999	0,23999999	243,64	0,16	256,20001	0,0099999998	50,02	0,0099999998	14,73	0,46000001	37,5	0,02	243,64	-0,971134321541563	-0,23853328808367	509,597989
"16401"	-1	0	29	0	1064,54	34,48	1065,1801	34,549999	46,310001	0,37	43,040001	0,23999999	59,040001	0,52999997	55,66	1,87	57,860001	2,0699999	51,84	0,49000001	53,07	0,36000001	142,66	0,079999998	151,06	0,050000001	49,990002	0,0099999998	10,11	0,33000001	34,619999	0,050000001	142,66	0,483893454971596	-0,87512691892985	127,128
"3482"	-1	0	22,889999	0,23999999	1466,14	148,98	1466,91	149,21001	41,98	0,87	40,57	0,41999999	60,619999	0,56	66,510002	0,44	69,190002	0,61000001	56,799999	0,38	58,34	0,2	254,61	0,82999998	260,89999	0,050000001	50	0,0099999998	13,95	1,4299999	38,200001	0,029999999	254,61	-0,987413779147106	-0,158158239590702	436,404011
"3921"	-1	0	28	0	926,81	0,36000001	927,02002	0,34	41,98	0,44999999	42,529999	0,28	60,700001	0,49000001	57,560001	0,090000004	58,450001	0,039999999	55,900002	0,090000004	57,290001	0,050000001	167,89999	0,47	179,17999	0,050000001	50	0,0099999998	8,8000002	0,0099999998	35,630001	0,059999999	167,89999	0,0143113858213431	-0,999897586873712	13,542
"10403"	-1	0	29	0	1347,15	147,3	1348,02	147,50999	48,990002	0,33000001	45,060001	0,14	64,809998	0,57999998	59,849998	0,95999998	64,07	1,12	49,59	0,61000001	56,040001	0,30000001	206,64999	0,039999999	228,84	0,31	49,990002	0,0099999998	12,82	1,41	38,400002	0,029999999	206,64999	-0,752874577492517	-0,658164014942677	376,795011
"16210"	-1	0	26,860001	0,16	1050,98	40,34	1051,47	40,389999	44,59	0,44999999	43,650002	0,28999999	63,599998	0,60000002	59,720001	0,5	61,200001	0,63999999	56,080002	0,11	57,380001	0,12	113,31	0,23999999	139,52	0,14	50,029999	0,0099999998	9,9799995	0,38999999	35,77	0,079999998	113,31	0,649182577013906	-0,760632619404127	120,396
"10612"	-1	0	24	0,02	1566,36	228,32001	1567,71	228,69	41,490002	0,30000001	41,16	0,16	59,290001	0,67000002	63,950001	1,72	68,120003	1,17	55,720001	3,6600001	57,41	0,69999999	313,88	1,35	305,26999	0,52999997	49,990002	0,0099999998	14,92	2,1800001	36,810001	0,039999999	313,88	-0,81644014451713	0,577430074052995	562,837989
"10686"	-1	0	27	0	1021,34	88,660004	1022,02	88,790001	42,220001	0,49000001	40,73	0,33000001	58,889999	0,63999999	57,400002	1,4	63,279999	1,5599999	48,41	0,23999999	56,32	0,68000001	247,48	0,80000001	241,2	0,079999998	49,98	0,0099999998	9,6999998	0,85000002	36,110001	0,02	247,48	-0,876306680043863	-0,481753674101716	106,1179967
"13219"	89,980003	0	14,01	0,15000001	12,82	12,87	15,9	14,12	30,43	0,28999999	34,639999	0,31999999	68,550003	0,56999999	65,209999	1,71	66,360001	1,78	32,610001	1,99	50,029999	0,69	203,02	0,07	208,46001	0,11	49,990002	0,0099999998	0,090000004	0,14	30,67	0,28	203,02	-0,476545267383819	-0,879149934956538	-6,36800011
"17888"	-1	0	32,139999	0,12	1463,6	152,67999	1464,53	152,89999	45,290001	0,44	44,349998	0,27000001	61,34	0,75	66,660004	0,77999997	69,550003	0,87	57,549999	0,47	59,669998	0,33000001	219,21001	0,11	223,33	0,16	50	0,0099999998	13,93	1,46	40	0,029999999	219,21001	-0,686199319824292	-0,727413564262228	466,455989
"20391"	-1,01	0	13	0	1781,78	37,580002	1784,15	37,669998	30,66	0,46000001	33,380001	0,059999999	58,68	0,38999999	70,879997	0,2	70,739998	0,15000001	39,02	1,05	49,119999	0,19	260,37	1,21	247,02	0,029999999	49,990002	0,0099999998	16,99	0,36000001	32,93	0,12	260,37	-0,920641188262952	-0,390409787881631	1112,167
"2248"	-1,01	0	19	0	1168,74	59,130001	1169,47	59,209999	46,73	0,28	41,73	0,17	64,290001	0,54000002	61,919998	0,23	65,559998	0,30000001	56,380001	0,14	58,43	0,059999999	254,61	0,079999998	236,57001	0,0099999998	49,970001	0,0099999998	11,11	0,56	33	0,0099999998	254,61	-0,83455961394922	-0,550917644267207	190,191
"7302"	89,980003	0	8,9700003	0,14	12,22	7,8600001	8,3199997	8,6999998	21,700001	0,11	10,81	0,050000001	29,17	0,11	22,629999	0,050000001	27,040001	0,1	25,24	0,56999999	32,32	0,22	279,85999	0,050000001	278,34	0,07	50,040001	0,039999999	0,0099999998	0,039999999	14,23	0,050000001	279,85999	-0,989424768295606	0,145046985088232	-4,76200011
"11740"	44,98	0	26	0,0099999998	127,59	435,48001	126,6	436,13	44,330002	0,28999999	40,639999	0,17	59,169998	0,27000001	54,639999	0,66000003	57,650002	0,34	53,810001	0,82999998	55,740002	0,27000001	183,11	0,49000001	183,78999	0,22	49,990002	0,0099999998	1,2	4,1399999	37,169998	0,079999998	183,11	-0,0660995760312191	-0,997813031608875	-2,78199989
"3042"	-1	0	24	0	1269,9	123,86	1270,5699	124,05	42,099998	0,99000001	39,360001	0,5	59,93	1,11	64,150002	0,64999998	67,900002	0,69999999	56,93	0,25999999	58,75	0,1	290,82999	0,55000001	307,48001	0,050000001	49,990002	0,0099999998	12,08	1,1900001	36,169998	0,039999999	290,82999	-0,793565683578393	0,608484597871431	264,056011
"4668"	-1	0	20,25	0,38	1381,63	132,57001	1382,6	132,8	42,330002	0,49000001	39,799999	0,23	59,790001	0,50999999	61,43	0,25	65,25	0,83999997	54,419998	1,88	56,139999	0,27000001	31,809999	0,69	22,190001	0,079999998	50,009998	0,0099999998	13,15	1,27	34,23	0,059999999	31,809999	0,377679202323561	0,925936509773882	349,119011
"7218"	-1,01	0	10	0	1036,6899	46,700001	1037,17	46,799999	21,51	0,34	21,76	0,34	37,66	0,47999999	48,080002	0,31999999	41,860001	0,5	29,42	0,28999999	30,360001	0,16	32,900002	0,13	27,040001	0,0099999998	50,009998	0,02	9,8500004	0,44999999	15,97	0,11	32,900002	0,454612444499906	0,890689353987023	116,018
"6066"	3,22	4,0500002	18,93	0,27000001	1800,09	18,02	1801,78	18,049999	29,969999	0,11	38,200001	0,050000001	67,75	0,47	72,059998	0,15000001	73,800003	0,1	42,990002	0,31	54,130001	0,12	230,46001	0,039999999	229,78	0,11	49,990002	0,02	17,16	0,17	34,950001	0,029999999	230,46001	-0,763570674869441	-0,645724263505272	1966,603
"2811"	-1	0	26	0	1547,27	24,209999	1548,37	24,24	45,209999	0,56999999	41,939999	0,27000001	60,84	0,70999998	66,779999	0,50999999	69,720001	0,38	57,07	0,31999999	58,75	0,25999999	321,56	0,38	314,84	0,039999999	49,970001	0,0099999998	14,73	0,23	35,57	0,1	321,56	-0,70907863617896	0,705129412033412	509,202011
"20341"	89,980003	0	13,65	0,43000001	3,3	0,0099999998	0,02	0,12	21,620001	0,090000004	19,459999	0,090000004	23,99	0,039999999	26,440001	0,079999998	28,85	0,07	26,07	0,23	30,219999	0,34	103,4	0,1	93,790001	0,02	49,98	0,0099999998	0	0	16,6	0,079999998	103,4	0,997813018918649	-0,0660997675975684	-3,453
"11898"	-1	0	20	0	1308,65	133,34	1309,4	133,56	41,5	0,92000002	39,490002	0,38	60,419998	1,0700001	62,23	1,15	66,099998	0,85000002	55,389999	3,4200001	56,82	0,47999999	26,32	0,67000002	28,92	0,050000001	50	0,0099999998	12,45	1,28	35,400002	0,090000004	26,32	0,483587948575162	0,875295776291002	290,962011
"13830"	-1,01	0	11,03	0,13	1284,64	118,78	1286,02	119,05	36,77	1,1799999	34,299999	0,72000003	57,669998	1,38	61,720001	0,41	66,199997	0,34	55,799999	0,58999997	58,380001	0,12	12,05	1,42	9,4499998	0,02	50	0,0099999998	12,22	1,14	27,959999	0,039999999	12,05	0,164186843125575	0,986429257749616	275,814989
"11228"	-1	0	24	0	1308,02	111,22	1308,97	111,4	42,060001	0,44999999	40,48	0,22	58,900002	0,54000002	63,560001	0,72000003	66,989998	0,77999997	57,810001	0,25	59,700001	0,22	151,82001	0,72000003	157,91	0,090000004	50,009998	0,0099999998	12,44	1,0700001	34,740002	0,050000001	151,82001	0,376062547657736	-0,926594280280843	290,291
"15715"	44,98	0	23	0	150,31	11,99	149,53	12	38,48	0,059999999	37,84	0,050000001	50,240002	0,22	43,02	0,30000001	43,380001	0,18000001	41,700001	0,16	42,98	0,14	17,540001	0,07	18,940001	0,039999999	49,98	0,0099999998	1,41	0,11	26,52	0,039999999	17,540001	0,324577847896801	0,945858985607623	-2,144
"7006"	-1,01	0	13	0	926,53998	10,48	926,98999	10,49	34,860001	1,09	41,470001	0,77999997	58,369999	1,25	54,990002	0,27000001	57,57	0,19	52,82	0,20999999	54,759998	0,11	86,68	0,92000002	76,419998	0,050000001	49,990002	0,0099999998	8,8000002	0,1	26,6	0,090000004	86,68	0,972043013247139	0,234802854321284	42,1420011
"550"	-0,82999998	0,38	15	0	1146	71,610001	1146,84	71,730003	42,48	0,88999999	39,080002	0,52999997	63,59	0,67000002	59,27	0,13	63,32	0,40000001	55,380001	0,18000001	57,07	0,090000004	160,22	2,3699999	160,02	0,1	49,98	0,0099999998	10,89	0,68000001	28,540001	0,11	160,22	0,341692107891483	-0,93981195108632	175,858
"16533"	-1	0	26	0	1010,79	28,959999	1011,31	29	45,810001	0,31999999	45,5	0,25999999	64,309998	0,67000002	53,630001	0,28999999	53,75	0,34	46,400002	0,15000001	47,209999	0,15000001	226,07001	0,090000004	229,46001	0,090000004	50	0,0099999998	9,6000004	0,28	30,709999	0,11	226,07001	-0,759952493502667	-0,649978620893855	100,2880022
"14509"	44,98	0	15	0	74,220001	7,3800001	72,93	7,4000001	31,959999	0,059999999	26,98	0,090000004	36,619999	0,11	37,360001	0,090000004	39,040001	0,1	37,720001	0,81999999	40,779999	0,11	5,46	0,029999999	18,51	0	50	0,0099999998	0,69	0,07	21,5	0	5,46	0,317470165273005	0,948268260652823	-4,48700011
"2733"	-1	0	24	0	1798,6801	5,7600002	1800,0699	5,7800002	39,169998	0,87	36,869999	0,25	64,779999	0,75	69,449997	0,2	72,720001	0,12	45,689999	0,40000001	54,48	0,17	64,730003	0,60000002	63,150002	0,07	50	0,0099999998	17,139999	0,059999999	37,599998	0,039999999	64,730003	0,892192029515963	0,451656265835189	1320,397
"12416"	0,14	1,73	15	0,0099999998	1794,38	42,91	1796,38	43	29,129999	0,38999999	30,950001	0,14	62,009998	1,12	71,889999	0,54000002	73,669998	0,31	39,349998	0,66000003	53,830002	0,34999999	161,32001	0,11	159,16	0,029999999	49,98	0,0099999998	17,110001	0,41	33,599998	0	161,32001	0,355759507257125	-0,934577537177182	1607,926
"5743"	-1,01	0	14	0,02	1152,91	53,389999	1153,74	53,470001	38,009998	0,18000001	38,959999	0,11	57,91	0,50999999	58,740002	0,11	63,290001	0,11	54,509998	0,12	56,529999	0,050000001	308,39001	1,16	302,91	0,02	50	0,0099999998	10,96	0,50999999	29,99	0,039999999	308,39001	-0,839525049921109	0,543320982987919	179,268
"8144"	-1,01	0	16,42	0,41	1189,48	16,92	1190,1	16,959999	32,93	0,36000001	31	0,25	46,48	0,51999998	52,209999	0,37	53,209999	0,19	41,810001	0,23999999	43,490002	0,44999999	205,22	0,15000001	196	0,0099999998	49,98	0,0099999998	11,31	0,16	24,77	0,12	205,22	-0,275637355816999	-0,961261695938319	199,475
"1873"	-1,01	0	19,48	0,41999999	1078,67	35,849998	1079,33	35,900002	43,869999	0,33000001	40,189999	0,2	62,68	0,50999999	58,57	0,079999998	62,02	0,16	53,689999	0,11	55,43	0,050000001	218,39	0,13	211,7	0,079999998	49,970001	0,0099999998	10,25	0,34	31,4	0,029999999	218,39	-0,525471651072267	-0,850811109424051	135,081
"10210"	-1	0	35	0	1686,0601	103,04	1687,1899	103,2	44,5	0,33000001	45,279999	0,14	60,25	0,60000002	67,610001	1,54	70,860001	1,2	57,459999	0,58999997	58,790001	0,64999998	294,12	0,55000001	297,84	0,22	50	0,0099999998	16,059999	0,99000001	42,009998	0,14	294,12	-0,884255160376073	0,467004080654854	689,447989
"12935"	-0,95999998	0,27000001	8,2299995	0,38	1760,09	39,349998	1762,0699	39,439999	34,299999	0,95999998	29,9	0,46000001	58,599998	0,87	69,870003	0,5	72,540001	0,40000001	40,27	2,26	53,25	0,19	186,56	1,4400001	185,28	0,1	50,009998	0,0099999998	16,780001	0,38	30,16	0,090000004	186,56	-0,0920230083375475	-0,995756880938569	1031,515022
