LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,heure,date
125.7,62,57,57,60,61,56,57,63,57,59,61,59,61,55,59,55,63,57,64,55,58,61,63,61,59,18,2005-01-03
126.1,59,61,57,60,61,57,55,63,57,59,60,59,61,56,57,52,61,54,63,53,60,61,59,60,58,19,2005-01-03
122.9,57,61,54,60,55,56,55,61,57,59,60,59,59,56,57,50,63,54,63,54,59,61,61,59,58,20,2005-01-03
116.3,56,61,51,60,55,54,54,59,55,57,59,57,59,56,58,50,63,54,61,54,58,61,54,60,58,21,2005-01-03
105.9,55,61,52,57,54,54,54,55,57,57,59,57,59,55,58,52,61,53,57,52,58,59,55,56,58,22,2005-01-03
93.9,54,59,53,59,54,55,54,55,59,57,58,57,59,56,59,49,61,55,59,52,59,59,57,57,55,23,2005-01-03
84.9,53,59,53,58,54,55,54,55,61,57,58,57,59,56,59,51,61,55,57,54,59,55,57,58,56,0,2005-01-04
81.5,51,59,49,58,54,55,54,55,61,57,57,57,59,54,59,53,59,54,57,52,59,59,57,57,57,1,2005-01-04
79.9,50,57,48,58,54,55,54,55,61,57,57,55,59,54,59,55,57,54,57,55,59,59,55,57,56,2,2005-01-04
80.1,50,59,46,57,54,55,54,55,61,57,57,55,59,55,58,55,59,57,57,54,60,59,54,55,56,3,2005-01-04
83.5,49,57,44,56,54,54,53,54,61,55,57,55,59,56,58,57,57,56,55,54,60,59,54,56,55,4,2005-01-04
93.3,48,57,48,54,54,55,54,54,61,55,56,55,59,55,58,56,55,56,55,55,61,59,54,57,56,5,2005-01-04
111.8,47,59,46,52,54,55,53,54,61,57,54,54,59,55,58,57,54,55,55,54,61,59,57,57,57,6,2005-01-04
114.6,47,59,48,50,54,59,55,55,61,57,55,55,55,55,56,56,54,56,57,55,61,61,59,57,57,7,2005-01-04
105.7,47,63,48,56,59,60,57,61,61,61,57,55,59,56,59,57,57,57,61,57,62,63,59,57,59,8,2005-01-04
98.9,53,66,54,60,66,63,65,64,63,63,60,57,64,56,63,61,63,59,68,62,63,64,64,63,63,9,2005-01-04
94.8,58,72,60,64,68,68,70,69,63,68,65,61,66,55,67,68,66,60,70,65,65,68,70,67,66,10,2005-01-04
92.4,63,72,65,68,71,70,71,73,61,70,68,68,70,58,70,72,72,62,72,70,69,72,73,73,69,11,2005-01-04
89.9,66,73,69,71,73,73,71,75,63,72,70,68,73,57,71,73,73,61,72,73,70,73,73,74,72,12,2005-01-04
89,68,77,70,73,75,73,74,77,63,75,73,70,75,59,72,74,73,63,73,74,71,73,75,74,73,13,2005-01-04
87,70,75,69,73,77,75,74,77,63,75,74,70,73,58,73,74,75,62,73,74,72,73,73,74,73,14,2005-01-04
86.6,70,73,69,72,75,73,73,77,63,73,73,70,73,57,73,74,75,62,73,75,71,73,73,73,72,15,2005-01-04
90.3,70,68,67,69,72,67,70,72,63,72,69,68,72,56,70,69,72,60,72,66,70,72,70,69,67,16,2005-01-04
107.9,67,63,64,67,70,64,63,66,61,64,67,61,63,57,63,64,68,58,68,63,64,64,64,65,61,17,2005-01-04
120.5,64,59,62,64,63,63,61,64,61,64,64,64,63,56,62,62,64,57,66,59,61,61,61,66,59,18,2005-01-04
119.4,62,57,60,65,61,63,61,63,61,63,64,63,63,56,62,60,66,57,63,58,63,59,57,64,60,19,2005-01-04
114.5,61,57,59,64,61,60,60,63,61,63,64,63,63,55,61,59,66,57,61,57,50,64,63,63,63,20,2005-01-04
107.8,60,57,59,61,59,58,61,61,61,63,61,63,63,55,61,59,64,57,61,56,48,64,64,61,62,21,2005-01-04
96.9,59,61,56,63,59,59,61,59,57,63,63,63,61,55,63,58,64,57,63,55,48,64,59,60,61,22,2005-01-04
84.1,58,61,57,62,59,58,58,59,57,61,63,61,59,55,62,58,64,57,63,54,46,64,61,62,60,23,2005-01-04
75.1,57,59,51,61,59,58,59,61,55,59,61,59,59,55,63,56,63,56,59,55,46,64,59,61,61,0,2005-01-05
71.4,56,59,51,60,55,57,57,59,55,59,59,57,59,56,61,57,61,55,59,55,46,61,57,60,60,1,2005-01-05
69.8,56,61,48,59,55,54,57,59,55,57,59,57,59,55,60,57,59,55,57,50,45,61,55,57,59,2,2005-01-05
70.5,55,59,45,57,55,57,55,59,55,57,58,55,59,55,59,56,57,55,54,55,45,59,57,56,57,3,2005-01-05
74.9,54,59,42,57,55,56,57,57,57,55,57,55,59,55,58,55,57,54,54,54,46,59,57,57,55,4,2005-01-05
86.1,54,59,43,58,55,56,57,57,57,57,56,56,59,56,57,55,61,55,50,55,47,59,55,56,55,5,2005-01-05
110.5,53,57,41,58,55,57,54,55,57,55,55,56,55,55,55,55,63,54,50,57,51,59,55,56,55,6,2005-01-05
112.8,53,57,41,58,55,56,56,57,57,57,55,56,55,55,55,56,61,56,48,56,56,59,55,54,56,7,2005-01-05
101.1,53,61,42,58,61,60,60,63,61,61,57,57,59,57,57,60,61,58,52,60,60,63,57,58,59,8,2005-01-05
94.4,59,66,47,62,66,63,66,66,61,64,61,57,61,58,61,66,63,59,57,65,64,66,64,63,63,9,2005-01-05
90.8,64,66,50,65,70,67,69,70,63,70,63,61,63,59,65,69,66,60,63,69,66,66,68,65,67,10,2005-01-05
88.6,68,72,54,68,73,70,71,72,64,72,65,63,66,59,67,72,66,62,66,72,68,67,72,68,69,11,2005-01-05
87.1,71,72,59,69,73,71,72,72,63,72,66,66,68,60,68,73,70,62,70,72,58,67,72,71,70,12,2005-01-05
85.3,73,73,62,69,73,71,73,73,63,72,68,68,70,61,67,73,70,67,70,74,51,67,70,70,70,13,2005-01-05
83.8,75,72,64,68,73,73,72,73,63,72,67,68,70,60,68,72,70,65,68,72,47,67,70,69,71,14,2005-01-05
84,75,72,65,68,73,70,71,73,63,70,67,68,66,58,68,71,70,63,66,72,48,68,70,68,69,15,2005-01-05
89,75,66,62,66,72,65,68,72,61,66,66,64,63,57,65,68,66,62,64,66,47,68,68,65,66,16,2005-01-05
108.1,72,63,60,63,66,62,64,68,59,64,63,61,61,57,63,64,63,58,63,64,46,66,64,64,62,17,2005-01-05
119.4,67,63,57,63,63,52,62,64,57,63,62,57,61,57,60,62,63,57,61,64,46,63,63,60,56,18,2005-01-05
118.3,65,64,57,62,61,50,60,64,57,61,59,61,61,57,58,61,63,57,61,62,46,61,61,60,58,19,2005-01-05
114.2,63,59,55,61,59,50,60,63,55,61,60,59,59,57,57,60,63,58,59,61,47,61,63,58,58,20,2005-01-05
109.2,62,57,55,60,59,49,59,61,55,61,59,59,59,57,61,59,61,57,59,60,47,61,63,60,59,21,2005-01-05
97.9,61,57,55,58,61,49,59,61,55,61,59,57,59,57,60,59,61,56,61,60,48,61,61,61,59,22,2005-01-05
85.7,60,61,54,58,61,48,59,63,55,61,59,57,59,57,59,60,61,55,59,60,48,61,61,60,59,23,2005-01-05
77.9,59,61,52,58,59,48,58,63,55,61,57,57,59,57,58,59,61,56,59,60,48,61,61,58,59,0,2005-01-06
74.8,57,61,53,57,59,54,57,63,55,61,57,57,59,56,58,60,59,57,55,59,49,61,61,59,57,1,2005-01-06
73.7,56,59,54,57,59,55,57,63,55,61,57,57,59,57,57,60,57,58,54,59,49,61,61,58,58,2,2005-01-06
74.3,55,57,56,57,59,56,58,63,52,61,57,57,59,57,57,60,57,57,55,60,51,61,59,58,59,3,2005-01-06
78.2,55,57,57,57,59,55,58,61,55,59,56,57,59,58,59,62,61,57,55,60,52,61,59,59,60,4,2005-01-06
89,54,57,58,57,59,54,60,63,52,59,56,57,59,58,59,61,61,57,55,62,55,61,57,57,59,5,2005-01-06
113.8,53,57,58,57,61,55,61,61,54,59,57,57,59,59,59,62,61,56,54,61,56,61,59,57,59,6,2005-01-06
112.9,53,57,57,58,61,57,61,61,55,59,58,57,59,58,59,61,57,57,54,61,57,61,59,58,59,7,2005-01-06
104.5,53,61,57,59,63,59,62,63,55,61,60,57,61,59,60,64,61,60,55,63,59,64,61,60,60,8,2005-01-06
97,58,66,60,61,70,62,65,68,61,64,62,59,63,59,62,67,63,61,57,66,61,66,63,64,63,9,2005-01-06
92.5,62,72,60,62,73,64,67,72,61,66,63,63,64,60,65,69,63,63,59,69,65,68,66,66,66,10,2005-01-06
89.9,65,72,57,63,73,69,70,75,61,68,67,63,68,60,68,71,63,63,61,71,68,73,70,69,68,11,2005-01-06
87,68,72,55,63,77,69,72,77,57,73,67,64,68,62,67,73,64,63,61,73,71,73,72,70,71,12,2005-01-06
85.7,70,72,55,63,79,69,73,77,63,75,65,68,66,63,70,73,64,64,63,73,73,75,72,72,71,13,2005-01-06
84.1,71,73,56,64,77,69,73,79,61,73,61,68,66,62,69,74,63,64,63,74,74,75,72,72,72,14,2005-01-06
84.7,71,72,58,64,77,68,73,77,57,73,61,68,64,61,69,73,64,62,63,73,72,73,72,71,71,15,2005-01-06
90.2,71,72,56,64,73,66,70,75,55,72,61,64,63,61,63,68,64,61,63,71,71,73,70,65,69,16,2005-01-06
107.2,68,72,54,64,72,64,68,72,54,70,62,63,63,60,67,65,64,62,63,69,71,70,70,65,69,17,2005-01-06
118.2,63,72,52,64,70,64,64,72,55,72,60,63,63,61,66,64,63,60,61,66,69,72,70,66,68,18,2005-01-06
117.8,61,72,51,62,70,64,64,70,52,70,61,63,63,62,66,64,63,60,61,66,68,70,70,64,68,19,2005-01-06
113.9,59,72,49,60,66,63,64,70,52,68,61,61,64,62,65,64,61,59,61,66,68,70,68,65,67,20,2005-01-06
106.8,58,68,49,60,64,61,65,68,52,68,60,61,63,62,64,65,59,60,59,66,64,70,66,65,67,21,2005-01-06
94.6,57,66,48,58,66,61,65,68,50,66,60,57,61,62,63,65,57,61,57,66,63,68,66,64,67,22,2005-01-06
81.8,56,66,46,57,63,59,65,68,50,61,56,57,61,61,62,63,55,59,57,66,63,66,66,62,67,23,2005-01-06
72.8,55,66,46,56,63,59,66,68,48,61,53,56,61,60,61,62,54,58,55,65,65,64,64,61,65,0,2005-01-07
68.8,53,66,45,54,63,62,66,64,46,59,53,56,59,60,58,60,54,57,55,64,65,64,63,60,64,1,2005-01-07
67.1,52,66,44,53,63,60,65,64,46,59,50,55,55,59,57,59,48,57,54,62,64,64,63,60,62,2,2005-01-07
67.4,51,63,43,50,63,61,63,64,46,57,49,54,54,59,53,57,48,56,52,62,62,63,59,59,60,3,2005-01-07
70.7,51,59,42,49,61,59,63,63,46,57,48,54,54,58,51,55,46,56,52,61,60,59,57,57,59,4,2005-01-07
81.4,50,57,41,46,59,56,62,63,46,55,45,53,50,58,50,56,45,57,50,57,50,55,55,52,57,5,2005-01-07
107.2,49,52,41,46,59,53,60,59,45,54,46,53,50,58,49,55,43,57,46,54,48,54,52,50,54,6,2005-01-07
112.4,49,52,42,45,59,53,56,57,45,52,46,52,46,59,48,57,43,56,43,53,47,54,50,51,51,7,2005-01-07
103.3,49,57,43,50,61,52,60,61,45,57,50,52,50,61,56,61,46,60,50,58,47,61,54,56,57,8,2005-01-07
98.1,55,57,44,52,68,52,65,64,46,63,53,55,54,58,57,65,50,62,54,63,48,64,61,58,60,9,2005-01-07
94.1,60,59,47,53,70,53,65,68,52,64,55,55,55,58,58,69,52,67,55,66,49,64,64,59,61,10,2005-01-07
90.6,65,59,48,54,72,53,66,70,55,66,55,55,55,59,58,71,55,71,55,69,48,66,66,59,62,11,2005-01-07
87.1,68,59,49,55,73,53,67,72,55,68,56,57,59,58,59,72,57,67,57,70,48,66,68,59,61,12,2005-01-07
85.1,70,59,52,56,73,53,68,75,52,70,56,57,59,58,60,73,61,64,55,71,49,66,70,61,63,13,2005-01-07
83.5,72,57,55,57,73,52,63,73,52,68,57,59,59,57,60,70,61,62,55,70,47,64,70,62,63,14,2005-01-07
85.2,72,57,57,58,73,49,58,73,52,68,57,59,59,54,60,67,63,59,55,62,47,63,68,63,63,15,2005-01-07
94.4,72,54,56,59,73,47,56,72,50,64,56,57,55,52,58,65,61,55,55,60,46,59,64,60,60,16,2005-01-07
116.9,68,52,54,60,70,45,53,70,46,63,55,57,54,53,55,59,57,52,54,59,45,55,63,58,56,17,2005-01-07
129.6,64,52,54,60,66,45,52,68,46,59,53,57,54,53,54,57,57,52,54,56,45,54,59,57,54,18,2005-01-07
129.4,61,48,53,59,63,46,51,64,46,55,53,55,54,53,54,55,55,51,54,55,46,54,59,58,51,19,2005-01-07
128.8,59,46,53,58,63,47,50,61,48,54,52,55,54,53,53,55,54,51,52,54,46,52,61,57,50,20,2005-01-07
124.8,58,46,52,58,61,48,50,59,48,54,51,54,54,54,53,54,54,51,52,54,46,52,59,53,49,21,2005-01-07
117.7,57,46,51,58,59,49,50,59,46,54,51,55,50,54,52,54,55,51,52,53,47,52,59,52,49,22,2005-01-07
107.8,56,46,49,55,61,49,50,59,46,53,50,52,50,56,50,54,54,52,52,52,47,52,59,50,49,23,2005-01-07
99.1,55,46,48,57,59,49,51,57,46,52,50,54,49,58,50,55,54,52,52,51,48,52,57,50,48,0,2005-01-08
94.1,53,48,47,57,59,50,50,57,46,52,49,50,49,61,50,55,52,52,50,51,47,52,57,50,48,1,2005-01-08
91.1,52,48,48,56,59,50,51,57,46,52,49,54,48,59,51,55,50,52,50,50,48,54,57,51,48,2,2005-01-08
89.6,52,48,49,54,59,50,51,57,46,52,48,54,48,60,52,56,50,51,48,50,49,54,57,52,48,3,2005-01-08
90.7,51,52,53,54,59,50,52,59,46,52,47,54,47,61,52,56,50,53,48,51,48,54,59,52,48,4,2005-01-08
94.4,50,52,56,53,61,51,52,59,48,52,47,57,47,61,53,57,50,53,46,52,50,54,59,53,48,5,2005-01-08
100.7,49,52,56,54,61,51,53,61,55,54,46,57,46,59,57,58,50,55,46,51,50,54,61,57,48,6,2005-01-08
109.3,49,52,57,54,61,50,55,63,55,55,46,57,50,58,59,62,50,58,46,54,52,55,61,59,50,7,2005-01-08
120.1,49,54,57,57,63,54,58,64,61,55,49,57,54,62,60,63,52,65,46,58,54,59,63,60,53,8,2005-01-08
122,54,57,58,61,66,57,61,66,61,61,54,61,59,64,63,67,54,66,48,63,57,63,64,63,58,9,2005-01-08
116.7,59,66,57,64,70,60,67,68,55,66,56,61,63,65,70,70,55,67,52,70,60,66,66,70,64,10,2005-01-08
107.6,63,72,58,65,73,64,72,72,55,70,52,63,64,67,69,73,57,64,54,74,67,70,72,69,70,11,2005-01-08
101,65,72,58,65,73,70,72,73,55,73,54,63,59,67,66,73,57,67,55,75,68,73,72,68,70,12,2005-01-08
96.4,68,72,57,66,77,71,73,75,57,73,58,55,59,66,63,73,63,66,57,74,68,73,73,67,71,13,2005-01-08
93.5,69,72,57,66,77,70,76,77,57,72,60,57,61,65,60,73,64,65,59,74,62,73,72,66,70,14,2005-01-08
94.1,69,64,55,65,77,70,75,75,55,73,62,57,61,64,61,70,64,64,61,74,62,73,70,63,69,15,2005-01-08
98,69,61,52,65,73,62,71,73,55,72,60,57,61,63,61,68,64,64,63,70,62,73,70,63,67,16,2005-01-08
108.7,65,59,49,61,73,61,69,72,48,71,56,55,59,63,57,65,57,63,59,67,61,72,66,62,64,17,2005-01-08
113.4,60,57,47,60,73,60,69,72,46,70,53,54,55,62,56,64,57,60,55,67,59,66,66,58,58,18,2005-01-08
110.3,57,54,45,55,72,57,67,70,45,66,53,54,54,62,54,63,57,59,52,64,49,64,63,56,55,19,2005-01-08
108.2,55,52,45,57,70,57,67,64,46,64,51,54,50,61,55,62,57,59,50,61,49,61,63,56,58,20,2005-01-08
106,53,54,44,56,70,51,65,66,45,63,49,54,47,61,53,61,55,59,48,60,47,55,61,54,57,21,2005-01-08
101.7,52,52,43,53,63,49,62,64,43,59,47,50,45,55,50,61,54,61,45,64,46,59,59,51,52,22,2005-01-08
96.2,51,46,41,53,61,48,58,64,43,55,46,48,43,53,48,59,52,61,43,62,46,54,59,49,49,23,2005-01-08
91.8,50,46,39,51,63,46,58,63,41,52,45,48,43,51,47,58,52,59,45,58,45,54,55,49,50,0,2005-01-09
90.6,48,46,37,50,61,45,55,59,39,52,42,46,41,50,45,53,48,52,45,55,44,52,54,46,49,1,2005-01-09
92.7,47,45,36,49,61,44,50,57,39,52,41,45,39,49,43,54,48,50,43,56,43,48,50,43,46,2,2005-01-09
95.5,46,41,34,47,59,43,49,54,39,46,42,45,37,48,43,54,48,48,41,54,42,46,46,43,45,3,2005-01-09
100.4,45,37,32,44,55,42,46,54,39,46,42,43,37,48,43,53,46,47,41,51,42,46,46,44,45,4,2005-01-09
106.4,44,39,33,43,55,42,45,54,37,45,40,42,37,47,42,50,45,47,43,49,41,46,48,43,43,5,2005-01-09
116.5,43,37,33,42,54,42,45,54,37,45,40,42,36,48,41,49,46,46,37,47,40,45,46,43,43,6,2005-01-09
133.5,43,37,33,41,54,43,45,52,39,43,40,41,37,48,42,49,45,46,37,46,41,45,45,43,41,7,2005-01-09
149.3,43,43,33,45,54,45,47,52,41,45,41,41,41,49,43,50,46,48,45,48,42,46,46,43,44,8,2005-01-09
147.2,50,46,35,48,54,47,49,52,45,48,45,45,43,52,45,52,48,51,46,51,43,48,48,45,45,9,2005-01-09
132.6,55,46,38,51,54,49,50,54,48,50,46,46,45,53,48,54,52,52,48,52,43,52,52,48,47,10,2005-01-09
117.8,50,48,44,51,55,49,52,55,54,52,49,48,46,54,48,56,54,53,52,55,43,54,52,49,50,11,2005-01-09
110.5,51,52,52,51,55,50,55,57,55,54,50,48,50,53,49,56,54,52,54,55,44,54,55,51,49,12,2005-01-09
107.7,51,52,57,50,59,49,54,57,57,54,51,48,50,53,50,59,55,53,55,56,44,54,55,51,50,13,2005-01-09
105.3,52,52,59,50,59,49,54,57,55,54,52,50,50,51,50,58,59,53,55,56,44,54,55,52,50,14,2005-01-09
104.4,52,52,59,50,59,48,54,57,55,54,53,50,50,50,51,58,59,52,55,56,43,54,55,52,50,15,2005-01-09
111.9,51,52,57,49,55,45,54,57,52,54,51,50,50,49,50,56,57,52,55,55,41,54,54,52,50,16,2005-01-09
129.6,47,46,53,49,54,43,53,52,48,52,49,45,45,49,44,55,52,52,50,55,40,54,48,47,50,17,2005-01-09
140,46,46,50,49,54,42,53,50,46,52,45,45,41,50,41,53,46,51,46,54,40,54,45,44,47,18,2005-01-09
143.1,46,48,46,50,52,40,52,50,46,52,44,43,41,50,40,51,45,50,45,53,39,52,45,41,42,19,2005-01-09
144,53,48,45,47,50,40,50,48,45,48,43,43,41,50,39,50,43,50,43,50,40,46,41,41,43,20,2005-01-09
137.8,52,46,44,44,48,40,48,45,45,45,42,43,37,49,38,49,41,50,43,49,39,46,41,40,40,21,2005-01-09
128.2,51,45,40,45,46,38,46,45,45,45,42,42,37,49,37,46,39,50,39,50,39,46,39,40,39,22,2005-01-09
119.3,50,41,40,41,46,37,42,45,45,41,41,40,37,49,37,45,37,50,39,48,38,46,37,39,38,23,2005-01-09
113.4,49,39,37,41,43,37,47,43,45,41,40,39,37,49,37,43,37,50,39,48,39,45,37,38,36,0,2005-01-10
112.8,47,37,37,43,43,35,47,43,38,39,39,37,37,49,37,47,37,50,37,46,36,45,37,37,36,1,2005-01-10
114.2,46,37,34,43,48,35,46,45,36,39,38,37,37,50,38,48,36,49,39,44,36,43,36,36,35,2,2005-01-10
117.8,45,37,35,42,48,33,48,48,37,37,39,37,37,50,37,50,36,48,37,42,35,41,36,36,34,3,2005-01-10
